activity_id,name,string_agg
d8716c0a-ba51-5b49-8bd1-43a601a8b018,Softball,null
ab7b3e31-0081-513c-87d0-4dd24a19a48c,Volleyball,null
c3c6b5bf-6fef-588d-a3d4-6af7b0b5e716,Headache,null
b629d3bc-c943-5a7e-bd8b-030f11a3e507,Kayaking,null
bce5b280-977d-543f-b56d-20b1e3b3bc2f,Hiking,null
83b3f160-bb5c-593b-905c-edf1e726c9d8,Camping,null
0a323c92-e4af-58bd-968b-0c25484c7e6f,Restaurant,"Breakfast, Brunch, Lunch, Dinner, Celebration"
58859c56-9464-5305-a374-c66656834d1a,Jump Rope,null
e9f22822-2d8c-56e5-be8a-f749176ac62d,Guitar,null
ddcd36b7-b90a-59b5-9987-8a64edbef67c,Kettlebell,null
316fac7f-4c2d-5c44-9c2a-f5a7473311c3,Recovery Workout,null
6e7bf28d-1dd2-5240-8ce4-a9fa1270047e,Massage,null
0c932ba7-d9c7-5193-99e9-f62a7aa5cb70,Breath Hold,null
9dff5baf-ecad-5093-84c8-4833e33c88b2,Chiropractor,null
9ace621d-e781-5b77-a523-567a24a1c71d,Infection,"Skin, Eye, Ear, Extremity"
2b484716-d543-5638-9fc2-6def3e388e4f,DIY Project,null
1bc4d2ee-df42-5f55-ad54-bbee92af6137,Tennis,null
450bb979-7a8e-569b-b6b7-0ba5fec9ba53,Fishing,null
fb91ec4e-98f8-53c2-ad4d-1ed44028b015,Club,"Dayclub, Nightclub"
25cf905e-c111-5e0d-9334-1575341b3925,Sex,null
03c51603-8b49-5a19-aed1-98b1bf0d8e30,Netball,null
0db07e3f-6451-5ba1-9e18-c8330fe70098,Hot Springs,null
63660e96-8384-51b9-b189-df8bcfe0deff,Probiotics,null
c5945008-4078-5293-8c7f-d9d25da915bb,Bowling,null
3eb52427-efb7-5e5c-a672-12bbf796b6fb,Archery,null
176839a2-9c3e-596d-b1b1-4a77ba16f3cf,Church,null
1bd92b1c-1c91-537c-938e-9a0243bff017,Steam Room,null
3eef0f92-5b52-580a-a3b5-e9b6399cb1bf,Camping,null
981aef3f-cf4c-5b6f-88b1-2660ad3dd679,Handstand,null
fb1ae6ce-63e5-5b31-be56-15bfe56f8f17,Obstacle Course,null
11a8adb4-16a2-5cfe-9412-f583056b72d1,Cross-Country Skiing,null
67de7908-6f4c-5a41-a2ba-f1e7a00e73c4,Sunlight,null
9f2bdd86-8380-5a79-a426-d0c0061b7aca,Weight,null
606ae6ec-ec20-5362-9d10-79a81bfba3f9,Waxing,null
815db158-0e6a-5d40-b54f-365cae33cbb5,Rower,null
8870faea-30d4-52db-9659-8c75a0ba9ce3,Cycling,"Bike, Flywheel, Cycle614, SoulCycle, Peloton, CycleBar, iFit, High Ride, Recumbent"
527e3c27-bdd5-5df6-8cee-2310ca802366,Nap,null
b9630dae-233d-52a8-ad5f-9eb3641e8e53,Rest Day,null
b420c46c-5e91-5171-b308-089d1d068d06,Baseball,null
4bcdf28d-03db-59e7-b731-e2ed13e4c45d,Journal,null
45cbe4d6-2b12-53f3-90cc-cd8f5da3442c,Basketball,null
c9537d01-0d7c-53fa-a9ed-54781075a22d,Golf,"9 Holes, 18 Holes, Scramble, 36 Holes, Best Ball, Driving Range, Match Play, Simulator, 27 Holes"
07131afc-bdd1-5040-9eef-f636dc56d11b,Core Training,null
7308b549-abe5-5494-bd55-002c259040cc,Sobriety,null
420439f2-d1c7-5ec4-a3cb-60bdf40e1376,Skateboarding,null
0f45c744-2957-54fc-82b7-6ea0dd9fd8a3,Sporting Event,"MLB, NFL, NBA, NHL, NCAAF, NCAAB, WNBA, MLS, NASCAR, Soccer, Golf, MMA, WWE, X Games, Olympics, Boxing"
6d2a19e6-b3c6-5bf3-b12c-376608bd9162,Physical Therapy,null
8666c655-8971-53c4-81c9-31d4bb6288bd,Water Skiing,null
ae9673db-b72e-57cd-a542-74369fc86753,Martial Arts,null
f04fa7df-b8bc-5307-ab80-7295850e1981,Concert,Festival
790cddb1-06a7-52fd-ad16-31894f77fe33,Cooking,null
7d522063-e3ba-5416-bf0c-51dfa16a9757,Paragliding,null
8e705df7-86e6-53f4-992a-3eb62beecd13,Ski Touring,null
80625daf-e32d-50d1-8bf7-440522bcfee9,Kickball,null
f0bf16c1-8419-5a14-ae5b-dc9cc79f8f1e,Hunting,null
19d30981-bc86-545c-97e4-53d1a3db2313,Climb,"Brooklyn Boulder, First Ascent, Denver Bouldering, Movement Climbing, The Spot Bouldering"
